Started analysis of RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 5% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 10% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 15% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 20% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 25% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 30% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 35% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 40% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 45% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 50% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 55% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 60% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 65% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 70% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 75% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 80% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 85% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 90% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Approx 95% complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Analysis complete for RPF_KO_Rep1_clpd_tr.fastq.gz
Started analysis of RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 5% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 10% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 15% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 20% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 25% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 30% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 35% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 40% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 45% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 50% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 55% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 60% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 65% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 70% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 75% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 80% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 85% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 90% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Approx 95% complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Analysis complete for RPF_KO_Rep2_clpd_tr.fastq.gz
Started analysis of RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 5% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 10% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 15% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 20% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 25% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 30% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 35% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 40% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 45% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 50% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 55% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 60% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 65% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 70% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 75% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 80% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 85% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 90% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Approx 95% complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Analysis complete for RPF_WT_Rep1_clpd_tr.fastq.gz
Started analysis of RPF_WT_Rep2_clpd_tr.fastq.gz
Approx 5% complete for RPF_WT_Rep2_clpd_tr.fastq.gz
Approx 10% complete for RPF_WT_Rep2_clpd_tr.fastq.gz
Approx 15% complete for RPF_WT_Rep2_clpd_tr.fastq.gz
Approx 20% complete for RPF_WT_Rep2_clpd_tr.fastq.gz
Approx 25% complete for RPF_WT_Rep2_clpd_tr.fastq.gz
Approx 30% complete for RPF_WT_Rep2_clpd_tr.fastq.gz
Approx 35% complete for RPF_WT_Rep2_clpd_tr.fastq.gz
Approx 40% complete for RPF_WT_Rep2_clpd_tr.fastq.gz
Approx 45% complete for RPF_WT_Rep2_clpd_tr.fastq.gz
Approx 50% complete for RPF_WT_Rep2_clpd_tr.fastq.gz
Approx 55% complete for RPF_WT_Rep2_clpd_tr.fastq.gz
Approx 60% complete for RPF_WT_Rep2_clpd_tr.fastq.gz
Approx 65% complete for RPF_WT_Rep2_clpd_tr.fastq.gz
Approx 70% complete for RPF_WT_Rep2_clpd_tr.fastq.gz
Approx 75% complete for RPF_WT_Rep2_clpd_tr.fastq.gz
Approx 80% complete for RPF_WT_Rep2_clpd_tr.fastq.gz
Approx 85% complete for RPF_WT_Rep2_clpd_tr.fastq.gz
Approx 90% complete for RPF_WT_Rep2_clpd_tr.fastq.gz
